회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)강스템바이오텍,217730,2019/12,113643697,68719236,-23153708,-26394472,6004584,2015/12/21,
(주)강스템바이오텍,217730,2020/12,82505287,48638871,-18725365,-19745799,9137898,2015/12/21,
(주)강원랜드,035250,2011/12,2711401782,2257362696,488541474,381175313,1265686425,2003/09/04,
(주)강원랜드,035250,2012/12,2906655321,2372026990,404867665,306228988,1296191223,2003/09/04,
(주)강원랜드,035250,2013/12,3102036846,2517696496,388041305,297596347,1361286598,2003/09/04,
(주)강원랜드,035250,2014/12,3375127289,2705357485,513172053,359348568,1496541441,2003/09/04,
(주)강원랜드,035250,2015/12,3690791830,2997755205,595400402,441629101,1633716839,2003/09/04,
(주)강원랜드,035250,2016/12,3978987574,3252727459,618616288,454533659,1696532511,2003/09/04,
(주)강원랜드,035250,2017/12,4185657487,3501235933,530897334,437540507,1604470055,2003/09/04,
(주)강원랜드,035250,2018/12,4231241354,3586777089,430699991,297236881,1438059299,2003/09/04,
(주)강원랜드,035250,2019/12,4438119306,3717759076,501153152,334653892,1520080449,2003/09/04,
(주)강원랜드,035250,2020/12,3641632201,3247028580,-431583874,-275879104,478578866,2003/09/04,
(주)강원에너지,114190,2011/11,,,,,,2009/11/20,
(주)강원에너지,114190,2012/12,,,,,,2009/11/20,
(주)강원에너지,114190,2013/12,,,,,,2009/11/20,
(주)강원에너지,114190,2014/12,,,,,,2009/11/20,
(주)강원에너지,114190,2015/12,85457457,56583901,447206,102482,46188664,2009/11/20,
(주)강원에너지,114190,2016/12,77186606,55088690,-1311190,-1125371,42287473,2009/11/20,
(주)강원에너지,114190,2017/12,93179394,48303010,-5588512,-6451819,82034829,2009/11/20,
(주)강원에너지,114190,2018/12,93845576,50203707,341329,1708887,85905365,2009/11/20,
(주)강원에너지,114190,2019/12,56602063,21124556,-17175963,-35647438,42549622,2009/11/20,
(주)강원에너지,114190,2020/12,32968636,17096338,-9226308,-12874763,38345166,2009/11/20,
(주)갤럭시아에스엠,011420,2011/12,45110356,25274017,5164839,2909464,47331427,1989/11/14,
(주)갤럭시아에스엠,011420,2012/12,43979072,25907252,2074371,389023,55049732,1989/11/14,
(주)갤럭시아에스엠,011420,2013/12,37636664,21493102,747160,-1736750,46437304,1989/11/14,
(주)갤럭시아에스엠,011420,2014/12,45274078,23205508,-423280,-255270,43885894,1989/11/14,
(주)갤럭시아에스엠,011420,2015/12,68686992,49739042,2101041,1863773,62472754,1989/11/14,
(주)갤럭시아에스엠,011420,2016/12,58444606,44846832,-3713866,-1562620,52626331,1989/11/14,
(주)갤럭시아에스엠,011420,2017/12,49831109,40494336,-3545768,-5899738,37281280,1989/11/14,
(주)갤럭시아에스엠,011420,2018/12,33253331,26472162,-10337846,-16003255,22060413,1989/11/14,
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750,-456437,-1375316,28732679,1989/11/14,
(주)갤럭시아에스엠,011420,2020/12,,,,,,1989/11/14,
