회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),자본(*)(IFRS),이자비용(IFRS),이자수익(IFRS),배당금수익(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),* 발행한 주식총수(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),유동부채(*)(IFRS),재고자산(*)(IFRS),유동자산(*)(IFRS),부채(*)(IFRS),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS),인건비(IFRS),금융비용(IFRS),임차료(IFRS),세금과공과(IFRS),감가상각비(IFRS),상장일,상장폐지일
(주)SNT에너지,100840,2012/12,15132783,230707564,9087721,183306309,195405,817848,1800,26635237,7084612,292802033,45359641,88443397,17407006,0,109495724,195,11627.63,-12643.46,-624.24,0,0,2280.65,2008/02/22,
(주)SNT에너지,100840,2013/12,16804410,200750984,16189688,198164671,330740,1464954,0,20128884,7084612,311675279,65884045,91989174,17793150,0,113510608,209,20782.43,14424.28,-1134.21,0,0,2082.27,2008/02/22,
(주)SNT에너지,100840,2014/12,13777651,242746888,11264253,207712504,335302,1088071,2925,-24774316,7084612,304511816,38991412,76613085,17747389,0,96799312,218,14794.97,15662.04,-755.69,0,0,2229.3,2008/02/22,
(주)SNT에너지,100840,2015/12,33918033,260094045,27029932,231399939,94454,546526,4500,2204846,7084612,316196096,31732088,64293369,10693980,0,84796156,232,35733.65,16172.9,-456.57,0,0,2256.99,2008/02/22,
(주)SNT에너지,100840,2016/12,1195144,254089906,1659742,229799567,0,224562,2250,35017765,7084612,348042346,58818094,102181702,6779276,0,118242778,218,2994.13,15986.07,-226.81,0,0,2305.32,2008/02/22,
(주)SNT에너지,100840,2017/12,19201911,184091945,4581777,233817326,0,173045,5400,-5579426,7084612,300266693,57181172,49128545,2324389,0,66449368,195,6036.85,14517.49,-178.45,0,0,2326.77,2008/02/22,
(주)SNT에너지,100840,2018/12,-1892191,139516396,1825479,231276490,0,1233928,6750,14435813,7297150,280991534,59575400,31555307,5692284,0,49715044,190,2388.64,13794.98,-1240.68,0,0,2062.17,2008/02/22,
(주)SNT에너지,100840,2019/12,14679703,202822913,14578960,245545053,5180,1055090,4725,-40057737,7506711,331391237,20449399,65138557,10124894,0,85846184,191,19171.78,14196.67,-1054.64,0,0,1789.24,2008/02/22,
(주)SNT에너지,100840,2020/12,22712569,229991237,9407217,236558985,3519,167870,4500,66428615,7506711,332066179,63698112,77454263,5960943,0,95507194,192,13176.86,15088.87,-168.85,0,0,1658.79,2008/02/22,
(주)SNT홀딩스,036530,2011/12,-4240083,2257851,5766277,387839074,0,1984063,6995776,9351556,14923423,388123974,36105093,199700,0,0,284900,9,4739.76,1072.02,-8979.84,0,0,75.59,2002/10/22,
(주)SNT홀딩스,036530,2012/12,6695560,8718270,9011145,388611726,0,1678475,0,8670824,14923423,388964716,14832665,165833,0,0,352990,9,9954.55,1647.79,-1678.48,0,0,78.56,2002/10/22,
(주)SNT홀딩스,036530,2013/12,6923357,8826810,8018313,396851717,0,1303441,0,7969284,14923423,397336142,17730734,306090,0,0,484426,8,8572.06,1485.66,-1303.44,0,0,67.39,2002/10/22,
(주)SNT홀딩스,036530,2014/12,5966121,7701882,6891599,398863036,0,1228850,0,6847661,14923423,399244416,9715942,245998,0,0,381380,8,7335.96,1301.68,-1228.85,0,0,74.59,2002/10/22,
(주)SNT홀딩스,036530,2015/12,6719535,8475099,27765789,421925486,0,1196077,21060,7958287,15370076,430584006,40091211,8658519,0,0,8658519,8,36487.89,1374.54,-1217.14,0,0,28.96,2002/10/22,
(주)SNT홀딩스,036530,2016/12,7999927,9818190,6923176,426682947,0,1305210,0,761622,15830105,427001710,31484863,318763,0,0,318763,8,6520.79,1369.08,-1305.21,0,0,26.72,2002/10/22,
(주)SNT홀딩스,036530,2017/12,5401909,7417869,4172419,425136143,0,1370792,0,6184231,15830105,425435423,13150370,299279,0,0,299279,7,4102.98,1649.06,-1370.79,0,0,23.89,2002/10/22,
