회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상장일,상장폐지일
(주)TCC스틸,002710,2016/12,250878191,92623510,13291420,15468493,317235565,1984/12/21,
(주)TCC스틸,002710,2017/12,248896237,89627045,6759804,-2328706,333762378,1984/12/21,
(주)TCC스틸,002710,2018/12,268135677,98351707,16306122,7565000,351301866,1984/12/21,
(주)TCC스틸,002710,2019/12,270265082,97501452,12657106,1996130,339334364,1984/12/21,
(주)TCC스틸,002710,2020/12,261204640,98249953,2414062,-3176050,323435107,1984/12/21,
(주)가비아,079940,2011/12,37295822,24298687,3932156,3262397,33792831,2005/10/19,
(주)가비아,079940,2012/12,51795749,31165211,2949228,5737877,38482449,2005/10/19,
(주)가비아,079940,2013/12,52151784,34822978,3035051,3786937,40507693,2005/10/19,
(주)가비아,079940,2014/12,55984243,38147677,3451259,3076978,43906243,2005/10/19,
(주)가비아,079940,2015/12,57657418,42470259,4531993,4288423,48446932,2005/10/19,
(주)가비아,079940,2016/12,61160981,45413712,3981746,3544032,49430564,2005/10/19,
(주)가비아,079940,2017/12,64986436,47662984,3176328,2493743,52365659,2005/10/19,
(주)가비아,079940,2018/12,69315988,49832912,4106091,2762732,55197652,2005/10/19,
