회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),자본(*)(요약)(IFRS)(백만원),부가가치(IFRS)(백만원),유형자산(요약)(IFRS)(백만원),기계장치(IFRS)(천원),(감가상각누계액)(IFRS)(천원),자산(*)(요약)(IFRS)(백만원),상장일,상장폐지일
(주)갤럭시아에스엠,011420,2011/12,3957763,24540,14937.6,264,0,0,40712,1989/11/14,
(주)갤럭시아에스엠,011420,2012/12,2596523,25153,9721.11,244,0,0,40170,1989/11/14,
(주)갤럭시아에스엠,011420,2013/12,-780292,22473,3928.36,258,0,0,34159,1989/11/14,
(주)갤럭시아에스엠,011420,2014/12,-1937620,23402,3400.02,170,0,0,40528,1989/11/14,
(주)갤럭시아에스엠,011420,2015/12,3007845,50665,10216.63,429,0,0,67197,1989/11/14,
(주)갤럭시아에스엠,011420,2016/12,-1876676,44847,5013.27,468,0,0,55826,1989/11/14,
(주)갤럭시아에스엠,011420,2017/12,-7384193,40494,-275.92,349,0,0,48958,1989/11/14,
(주)갤럭시아에스엠,011420,2018/12,-2638766,26797,-9601.87,252,0,0,33338,1989/11/14,
(주)갤럭시아에스엠,011420,2019/12,825072,21799,3287.96,512,0,0,28242,1989/11/14,
(주)갤럭시아에스엠,011420,2020/12,2869297,20719,5356.27,2776,0,0,28555,1989/11/14,
(주)경농,002100,2011/12,14271710,146017,28809.42,47136,38907853,36064776,176742,1977/06/30,
(주)경농,002100,2012/12,12031973,151500,32641.59,51460,39704718,37220229,203468,1977/06/30,
(주)경농,002100,2013/12,16373126,162696,42493.74,55088,39938460,38042753,214989,1977/06/30,
(주)경농,002100,2014/12,14226137,168999,38526.79,60744,40262627,38850314,230871,1977/06/30,
(주)경농,002100,2015/12,-9444978,173056,36680.28,60863,40970395,38448878,265109,1977/06/30,
(주)경농,002100,2016/12,8683420,176723,37693.81,60986,42294345,39424179,266622,1977/06/30,
(주)경농,002100,2017/12,14393946,182959,45275,61075,43129019,40519945,268967,1977/06/30,
(주)경농,002100,2018/12,4624400,187067,47204.81,67820,44384320,41688551,285032,1977/06/30,
(주)경농,002100,2019/12,4392117,190893,43823.04,64129,44837195,42975624,297197,1977/06/30,
(주)경농,002100,2020/12,8535979,197266,48358,63306,45488076,43922259,299102,1977/06/30,
(주)경동나비엔,009450,2011/12,12393396,143268,50196.09,71463,16809973,11474134,224373,1993/08/31,
(주)경동나비엔,009450,2012/12,22554949,152201,54692.56,86004,17558925,12537202,254627,1993/08/31,
(주)경동나비엔,009450,2013/12,20201422,161495,55874.59,148704,17733468,13589713,301476,1993/08/31,
(주)경동나비엔,009450,2014/12,-24009203,167984,56282.59,133081,30248630,15139081,331089,1993/08/31,
(주)경동나비엔,009450,2015/12,36531813,185208,76567.87,134166,36469813,16943922,324849,1993/08/31,
(주)경동나비엔,009450,2016/12,54602640,210193,91445.07,138398,40598014,18731925,347644,1993/08/31,
(주)경동나비엔,009450,2017/12,13453817,222028,88344.03,143721,41689066,21354716,391400,1993/08/31,
(주)경동나비엔,009450,2018/12,-9553832,240356,103466.23,157576,47188057,24285589,440514,1993/08/31,
(주)경동나비엔,009450,2019/12,38146715,254560,119653.32,165764,48914617,27871932,461607,1993/08/31,
(주)경동나비엔,009450,2020/12,54408162,281451,134478.53,190091,57956811,33771682,535512,1993/08/31,
(주)경동도시가스,267290,2017/12,18774744,292629,,316264,0,0,707917,2017/05/12,
(주)경동도시가스,267290,2018/12,120320145,318761,97564.13,320275,0,0,775881,2017/05/12,
(주)경동도시가스,267290,2019/12,33602896,337702,86578.45,325568,0,0,747454,2017/05/12,
(주)경동도시가스,267290,2020/12,-64559,354868,80027.99,321726,0,0,697182,2017/05/12,
(주)경동인베스트,012320,2011/12,90136711,412912,95768.55,265517,0,0,941176,1997/03/07,
(주)경동인베스트,012320,2012/12,154970428,468922,107979.21,279769,0,0,1168400,1997/03/07,
(주)경동인베스트,012320,2013/12,54868445,516834,93436.7,293644,0,0,1161427,1997/03/07,
(주)경동인베스트,012320,2014/12,16430931,560802,93996.69,299564,0,0,1101071,1997/03/07,
(주)경동인베스트,012320,2015/12,-32486622,548528,34539.58,317415,0,0,926393,1997/03/07,
(주)경동인베스트,012320,2016/12,32578235,556248,72056.94,320740,0,0,903819,1997/03/07,
(주)경동인베스트,012320,2017/12,49566809,309789,-608.84,9664,0,0,318031,1997/03/07,
(주)경동인베스트,012320,2018/12,1728544,310423,2304.64,12132,0,0,318777,1997/03/07,
(주)경동인베스트,012320,2019/12,1024556,308309,78.98,2799,0,0,316572,1997/03/07,
(주)경동인베스트,012320,2020/12,-5782743,305526,3434.74,2732,0,0,306973,1997/03/07,
(주)경방,000050,2011/12,-11592653,676624,79256.78,307702,92574549,45432098,1331931,1956/03/03,
(주)경방,000050,2012/12,27341666,669735,75544.51,301774,95699700,50147752,1301720,1956/03/03,
(주)경방,000050,2013/12,50395794,685569,99612.08,280676,93720477,53887097,1261257,1956/03/03,
(주)경방,000050,2014/12,29566345,651570,97566.02,269481,94243557,60844605,1275008,1956/03/03,
(주)경방,000050,2015/12,44076364,671771,107949.86,258276,95135486,66665814,1259512,1956/03/03,
(주)경방,000050,2016/12,61707854,690246,109992.25,248711,94580791,72699257,1237024,1956/03/03,
(주)경방,000050,2017/12,51272565,710965,109353.53,229435,92317874,75439939,1199064,1956/03/03,
(주)경방,000050,2018/12,29443002,729186,88599.95,214333,65861136,60155413,1226545,1956/03/03,
(주)경방,000050,2019/12,65270564,740732,80679.67,64861,8914332,8488209,1296265,1956/03/03,
(주)경방,000050,2020/12,46548127,759470,70916.2,41240,2218644,1974777,1212394,1956/03/03,
(주)경보제약,214390,2011/12,,,,,,,,2015/06/29,
(주)경보제약,214390,2012/12,,,,,,,,2015/06/29,
(주)경보제약,214390,2013/12,21628813,66219,50793.43,43797,38619044,29238668,143383,2015/06/29,
(주)경보제약,214390,2014/12,16041867,68330,62594.75,55285,49591070,33078666,168035,2015/06/29,
(주)경보제약,214390,2015/12,4240142,122817,64338.21,74892,58569360,37269560,195488,2015/06/29,
(주)경보제약,214390,2016/12,25328803,129402,62027.13,83949,69389415,42996092,203736,2015/06/29,
(주)경보제약,214390,2017/12,25805146,141510,70313.62,78497,73063927,49462862,204869,2015/06/29,
(주)경보제약,214390,2018/12,-1138159,149012,68893.82,76497,77841661,56525684,221623,2015/06/29,
(주)경보제약,214390,2019/12,23668111,149164,63450.36,88116,83101809,63907478,237817,2015/06/29,
(주)경보제약,214390,2020/12,20795227,156057,72847.99,88535,85655800,68755466,253239,2015/06/29,
(주)경인양행,012610,2011/12,10022891,158882,25633.29,69432,48004655,40996481,245826,1995/10/05,
(주)경인양행,012610,2012/12,14914670,162113,29938.88,67260,49032355,42903706,241046,1995/10/05,
(주)경인양행,012610,2013/12,-1601346,178075,48021.56,72283,53660408,46547467,274571,1995/10/05,
(주)경인양행,012610,2014/12,15097174,186434,47119.14,77811,57918598,48564897,267331,1995/10/05,
(주)경인양행,012610,2015/12,-1240907,185903,35639.84,76155,59400729,51294387,273778,1995/10/05,
(주)경인양행,012610,2016/12,8421999,191022,40282.61,77954,61830122,54127497,290035,1995/10/05,
(주)경인양행,012610,2017/12,652491,190844,39415.23,86526,69754089,57039994,296909,1995/10/05,
(주)경인양행,012610,2018/12,911833,198237,56886.72,90678,73819470,61008358,344908,1995/10/05,
(주)경인양행,012610,2019/12,-2222389,201086,58827.05,119520,81620191,65871139,381064,1995/10/05,
(주)경인양행,012610,2020/12,37263507,191585,41469.84,135974,98411186,71469442,386098,1995/10/05,
(주)고려시멘트,198440,2014/12,,,,,,,,2014/08/13,
(주)고려시멘트,198440,2015/12,,,,,,,,2014/08/13,
(주)고려시멘트,198440,2016/12,,,,,,,,2014/08/13,
(주)고려시멘트,198440,2017/12,3161867,77394,14885.67,47901,15053519,7408552,115882,2014/08/13,
(주)고려시멘트,198440,2018/12,1728759,86511,19051.09,48777,15266113,9093530,127537,2014/08/13,
(주)고려시멘트,198440,2019/12,2862239,88445,16208.11,51139,16701149,10600889,127036,2014/08/13,
(주)고려시멘트,198440,2020/12,7962781,92362,18317.4,50658,16533223,11486082,115338,2014/08/13,
(주)고바이오랩,348150,2019/12,-3668964,-53757,,283,44724,13417,34574,2020/11/18,
(주)고바이오랩,348150,2020/12,-9402492,54134,-50607.01,294,44724,22362,55675,2020/11/18,
(주)고영테크놀러지,098460,2011/12,12776648,70382,27718.99,14870,0,0,87018,2008/06/03,
(주)고영테크놀러지,098460,2012/12,10610309,84091,28550.06,15337,0,0,103020,2008/06/03,
(주)고영테크놀러지,098460,2013/12,12177046,100052,28707.49,14690,0,0,121329,2008/06/03,
(주)고영테크놀러지,098460,2014/12,23831965,118349,42596.7,19813,0,0,141873,2008/06/03,
(주)고영테크놀러지,098460,2015/12,15161650,133571,43429.68,19341,0,0,160171,2008/06/03,
(주)고영테크놀러지,098460,2016/12,17957289,157573,52985.52,23463,0,0,194333,2008/06/03,
(주)고영테크놀러지,098460,2017/12,7492877,164836,58409.3,24159,0,0,205696,2008/06/03,
(주)고영테크놀러지,098460,2018/12,44999013,229271,75984.96,32378,0,0,279985,2008/06/03,
(주)고영테크놀러지,098460,2019/12,26124765,252021,73465.3,35418,0,0,308020,2008/06/03,
(주)고영테크놀러지,098460,2020/12,37199067,252663,35556.55,34080,0,0,303115,2008/06/03,
(주)골드앤에스,035290,2011/12,8673653,22638,14658.86,995,0,0,46347,1999/12/07,
(주)골드앤에스,035290,2012/12,2427629,26253,7893.95,851,0,0,51063,1999/12/07,
(주)골드앤에스,035290,2013/12,-2348440,9813,-1958.86,810,0,0,34509,1999/12/07,
(주)골드앤에스,035290,2014/12,-462082,9084,1806.61,503,0,0,28884,1999/12/07,
(주)골드앤에스,035290,2015/12,2167956,14992,-3739.74,300,0,0,23598,1999/12/07,
(주)골드앤에스,035290,2016/12,1667960,14102,4792.12,194,0,0,18296,1999/12/07,
(주)골드앤에스,035290,2017/12,-940910,13105,-4235.05,337,0,0,16995,1999/12/07,
(주)골드앤에스,035290,2018/12,-2810496,13867,11.61,11191,6312785,212009,42473,1999/12/07,
(주)골드앤에스,035290,2019/12,-6246635,-5001,-16227.48,3723,5041785,582612,16096,1999/12/07,
(주)골드앤에스,035290,2020/12,-498313,14489,5505.25,3594,4986285,574649,20634,1999/12/07,
(주)골드퍼시픽,038530,2011/12,1749769,21830,4434.65,10070,8735073,1602136,27474,2000/06/09,
(주)골드퍼시픽,038530,2012/12,-4543789,22928,4958.14,8743,8806771,3181793,29862,2000/06/09,
(주)골드퍼시픽,038530,2013/12,-4333969,17116,-3602.2,7249,9148493,4991372,30518,2000/06/09,
(주)골드퍼시픽,038530,2014/12,-5423532,16902,-2264.04,5643,9462293,6868317,31936,2000/06/09,
(주)골드퍼시픽,038530,2015/12,-7136666,20116,-7836.3,2580,9384643,8458333,27496,2000/06/09,
(주)골드퍼시픽,038530,2016/12,-6549921,1890,-19661.53,1333,8456317,8456282,11122,2000/06/09,
(주)골드퍼시픽,038530,2017/12,-878680,5364,1313.87,1297,1187,0,26568,2000/06/09,
(주)골드퍼시픽,038530,2018/12,-2028216,20087,-1459.51,83,1,0,37288,2000/06/09,
(주)골드퍼시픽,038530,2019/12,-3541143,21069,-25252.68,909,1,0,72946,2000/06/09,
(주)골드퍼시픽,038530,2020/12,3314523,59738,4480.01,703,1,0,71420,2000/06/09,
(주)골프존,215000,2015/12,41872803,105063,,74040,14772092,4841693,171629,2015/04/03,
(주)골프존,215000,2016/12,32717567,115887,69940.02,69487,8016159,3709391,177636,2015/04/03,
(주)골프존,215000,2017/12,79436410,181395,71718.52,66801,5302425,2892020,239012,2015/04/03,
