회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)국보,001140,2001/12,,,
(주)국보,001140,2002/12,,,
(주)국보,001140,2003/12,,,
(주)국보,001140,2004/12,,,
(주)국보,001140,2005/12,,,
(주)국보,001140,2006/12,,,
(주)국보,001140,2007/12,,,
(주)국보,001140,2008/12,,,
(주)국보,001140,2009/12,,,
(주)국보,001140,2010/12,,,
(주)국보디자인,066620,2002/12,,,
(주)국보디자인,066620,2003/12,,,
(주)국보디자인,066620,2004/12,,,
(주)국보디자인,066620,2005/12,,,
(주)국보디자인,066620,2006/12,,,
(주)국보디자인,066620,2007/12,,,
(주)국보디자인,066620,2008/12,126215339,3269165,3819937
(주)국보디자인,066620,2009/12,111872795,10206536,5072819
(주)국보디자인,066620,2010/12,117346477,8239228,5526594
(주)국순당,043650,2000/12,,,
(주)국순당,043650,2001/12,,,
(주)국순당,043650,2002/12,,,
(주)국순당,043650,2003/12,147511979,38014892,28338871
(주)국순당,043650,2004/12,129116297,23382436,18849115
(주)국순당,043650,2005/12,118130602,23092966,20452044
(주)국순당,043650,2006/12,95105720,4821840,6675227
(주)국순당,043650,2007/12,81581708,4463673,5297336
(주)국순당,043650,2008/12,74177543,2701213,3688824
(주)국순당,043650,2009/12,74781304,4398659,7916235
(주)국순당,043650,2010/12,,,
(주)국영지앤엠,006050,2000/12,,,
(주)국영지앤엠,006050,2001/12,,,
(주)국영지앤엠,006050,2002/12,,,
(주)국영지앤엠,006050,2003/12,,,
(주)국영지앤엠,006050,2004/12,,,
(주)국영지앤엠,006050,2005/12,,,
(주)국영지앤엠,006050,2006/12,,,
(주)국영지앤엠,006050,2007/12,,,
(주)국영지앤엠,006050,2008/12,,,
(주)국영지앤엠,006050,2009/12,,,
(주)국영지앤엠,006050,2010/12,,,
(주)굿이엠지,051530,2001/12,,,
(주)굿이엠지,051530,2002/12,,,
(주)굿이엠지,051530,2003/12,,,
(주)굿이엠지,051530,2004/12,,,
(주)굿이엠지,051530,2005/12,,,
(주)굿이엠지,051530,2006/12,,,
(주)굿이엠지,051530,2007/12,,,
(주)굿이엠지,051530,2008/12,,,
(주)그래디언트,035080,2000/12,,,
(주)그래디언트,035080,2001/12,97293429,-12846997,-12256374
(주)그래디언트,035080,2002/12,,,
(주)그래디언트,035080,2003/12,,,
(주)그래디언트,035080,2004/12,,,
(주)그래디언트,035080,2005/12,164845864,3360176,8344870
(주)그래디언트,035080,2006/12,122092381,-1369489,28924084
(주)그래디언트,035080,2007/12,266727090,-818581,-7461382
(주)그래디언트,035080,2008/12,306658925,10684945,2045066
(주)그래디언트,035080,2009/12,325024939,-20400725,275127877
(주)그래디언트,035080,2010/12,373254967,-15269268,-8055101
(주)그로웰텔레콤,035780,2000/12,,,
(주)그로웰텔레콤,035780,2001/12,,,
(주)그로웰텔레콤,035780,2002/12,,,
(주)그로웰텔레콤,035780,2003/12,,,
(주)글로벌스탠다드테크놀로지,083450,2006/12,,,
(주)글로벌스탠다드테크놀로지,083450,2007/12,,,
(주)글로벌스탠다드테크놀로지,083450,2008/12,,,
(주)글로벌스탠다드테크놀로지,083450,2009/12,,,
(주)글로벌스탠다드테크놀로지,083450,2010/12,,,
(주)글로포스트,037830,2002/12,,,
(주)글로포스트,037830,2003/12,,,
(주)글로포스트,037830,2004/12,,,
(주)글로포스트,037830,2005/12,6793562,-610419,-4680424
(주)글로포스트,037830,2006/12,,,
(주)글로포스트,037830,2007/12,14356205,-12541675,-36494130
(주)글로포스트,037830,2008/12,22410854,-5346418,-11151201
(주)금양,001570,2000/12,51310867,-5516168,-5659759
(주)금양,001570,2001/12,55512054,-2857082,-2754432
(주)금양,001570,2002/12,50896158,-1732684,-31594064
(주)금양,001570,2003/12,39940292,396548,-5500261
(주)금양,001570,2004/12,48803366,3441888,309126
(주)금양,001570,2005/12,56510587,4652867,6108303
(주)금양,001570,2006/12,48538923,2852972,529074
(주)금양,001570,2007/12,53860377,1601896,25268
(주)금양,001570,2008/12,68686888,3695175,3250966
(주)금양,001570,2009/12,79296334,1862597,1483632
(주)금양,001570,2010/12,100943754,3143284,812764
(주)금화피에스시,036190,2000/12,,,
(주)금화피에스시,036190,2001/12,,,
(주)금화피에스시,036190,2002/12,,,
(주)금화피에스시,036190,2003/12,,,
(주)금화피에스시,036190,2004/12,,,
(주)금화피에스시,036190,2005/12,,,
(주)금화피에스시,036190,2006/12,,,
(주)금화피에스시,036190,2007/12,,,
(주)금화피에스시,036190,2008/12,,,
(주)금화피에스시,036190,2009/12,,,
(주)금화피에스시,036190,2010/12,,,
(주)기린,006070,2000/12,,,
(주)기린,006070,2001/12,,,
(주)기린,006070,2002/12,,,
(주)기린,006070,2003/12,,,
(주)기린,006070,2004/12,,,
(주)기린,006070,2005/12,,,
(주)기린,006070,2006/12,,,
(주)기린,006070,2007/12,,,
(주)기린,006070,2008/12,,,
(주)기산텔레콤,035460,2000/12,,,
(주)기산텔레콤,035460,2001/12,,,
(주)기산텔레콤,035460,2002/12,50467417,-4331166,-5223008
(주)기산텔레콤,035460,2003/12,50913151,2285351,1869423
(주)기산텔레콤,035460,2004/12,78410979,7439344,5997354
(주)기산텔레콤,035460,2005/12,63687506,-6789918,-9509165
(주)기산텔레콤,035460,2006/12,97896336,1552845,1596955
(주)기산텔레콤,035460,2007/12,98481027,-1491861,-3491856
(주)기산텔레콤,035460,2008/12,80793319,-1315460,-7465549
(주)기산텔레콤,035460,2009/12,59877046,-3010505,-6688496
(주)기산텔레콤,035460,2010/12,94494241,3660575,2220207
(주)까뮤이앤씨,013700,2000/12,,,
(주)까뮤이앤씨,013700,2001/12,,,
(주)까뮤이앤씨,013700,2002/12,,,
(주)까뮤이앤씨,013700,2003/12,,,
(주)까뮤이앤씨,013700,2004/12,,,
(주)까뮤이앤씨,013700,2005/12,,,
(주)까뮤이앤씨,013700,2006/12,,,
