회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)TCC스틸,002710,2009/12,1984/12/21,,281976646,152770454,363845213,15084342,12010743
(주)TCC스틸,002710,2010/12,1984/12/21,,317861931,158971655,442430416,15738571,10765811
(주)가비아,079940,2002/12,2005/10/19,,,,,,
(주)가비아,079940,2003/12,2005/10/19,,,,,,
(주)가비아,079940,2004/12,2005/10/19,,,,,,
(주)가비아,079940,2005/12,2005/10/19,,,,,,
(주)가비아,079940,2006/12,2005/10/19,,,,,,
(주)가비아,079940,2007/12,2005/10/19,,32754601,21462579,27270400,4871357,3022438
(주)가비아,079940,2008/12,2005/10/19,,43119087,25734181,32695039,5522735,2909428
(주)가비아,079940,2009/12,2005/10/19,,45179076,31118762,35644995,5631163,4441702
(주)가비아,079940,2010/12,2005/10/19,,50951705,35619767,40746190,6616833,5289526
(주)갑을,009840,2000/12,1989/08/01,2003/04/16,395418286,-357984672,297559721,-4496371,-89776749
(주)갑을,009840,2001/12,1989/08/01,2003/04/16,998319742,191173923,564188666,25784350,-245440190
(주)갑을,009840,2002/12,1989/08/01,2003/04/16,,,,,
(주)강원랜드,035250,2000/12,2003/09/04,,,,,,
(주)강원랜드,035250,2000/12,2001/10/25,2003/09/04,,,,,
(주)강원랜드,035250,2001/12,2003/09/04,,,,,,
(주)강원랜드,035250,2001/12,2001/10/25,2003/09/04,,,,,
(주)강원랜드,035250,2002/12,2003/09/04,,,,,,
(주)강원랜드,035250,2002/12,2001/10/25,2003/09/04,,,,,
(주)강원랜드,035250,2003/12,2003/09/04,,,,,,
(주)강원랜드,035250,2004/12,2003/09/04,,,,,,
(주)강원랜드,035250,2005/12,2003/09/04,,,,,,
(주)강원랜드,035250,2006/12,2003/09/04,,,,,,
(주)강원랜드,035250,2007/12,2003/09/04,,,,,,
(주)강원랜드,035250,2008/12,2003/09/04,,,,,,
(주)강원랜드,035250,2009/12,2003/09/04,,2386985774,1889714656,1206658712,463657864,390000453
(주)강원랜드,035250,2010/12,2003/09/04,,2610474616,2100462312,1314090565,565893599,421119501
(주)강원에너지,114190,2000/11,2009/11/20,,,,,,
(주)강원에너지,114190,2001/11,2009/11/20,,,,,,
(주)강원에너지,114190,2002/11,2009/11/20,,,,,,
(주)강원에너지,114190,2003/11,2009/11/20,,,,,,
(주)강원에너지,114190,2004/11,2009/11/20,,,,,,
(주)강원에너지,114190,2005/11,2009/11/20,,,,,,
(주)강원에너지,114190,2006/11,2009/11/20,,,,,,
(주)강원에너지,114190,2007/11,2009/11/20,,,,,,
(주)강원에너지,114190,2008/11,2009/11/20,,,,,,
(주)강원에너지,114190,2009/11,2009/11/20,,,,,,
(주)강원에너지,114190,2010/11,2009/11/20,,,,,,
(주)갤럭시아에스엠,011420,2000/12,1989/11/14,,66992091,22511945,80300777,5240859,896380
(주)갤럭시아에스엠,011420,2001/12,1989/11/14,,58976701,23492258,65486715,5322353,1448570
(주)갤럭시아에스엠,011420,2002/12,1989/11/14,,,,,,
(주)갤럭시아에스엠,011420,2003/12,1989/11/14,,69379430,20326947,61846728,949280,-3250884
(주)갤럭시아에스엠,011420,2004/12,1989/11/14,,48314987,21849922,29759229,-12428870,64902
(주)갤럭시아에스엠,011420,2005/12,1989/11/14,,44680696,14255362,32424868,-5295401,-7377900
(주)갤럭시아에스엠,011420,2006/12,1989/11/14,,102778251,274883,45284226,-792464,-7515189
(주)갤럭시아에스엠,011420,2007/12,1989/11/14,,,,,,
(주)갤럭시아에스엠,011420,2008/12,1989/11/14,,,,,,
(주)갤럭시아에스엠,011420,2009/12,1989/11/14,,,,,,
(주)갤럭시아에스엠,011420,2010/12,1989/11/14,,,,,,
(주)건영,012720,2000/12,1989/08/22,2003/10/02,,,,,
(주)건영,012720,2001/12,1989/08/22,2003/10/02,,,,,
(주)건영,012720,2002/12,1989/08/22,2003/10/02,,,,,
(주)경농,002100,2000/12,1977/06/30,,,,,,
(주)경농,002100,2001/12,1977/06/30,,207546301,99756983,155060559,14319548,4452297
(주)경농,002100,2002/12,1977/06/30,,,,,,
(주)경농,002100,2003/12,1977/06/30,,204937889,95095011,147676942,7315651,-10154203
(주)경농,002100,2004/12,1977/06/30,,197483850,102358416,158205259,10623569,2830649
(주)경농,002100,2005/12,1977/06/30,,215393655,109410129,166391481,16264764,7825511
(주)경농,002100,2006/12,1977/06/30,,226960926,117378647,160916154,19834868,12302971
(주)경농,002100,2007/12,1977/06/30,,,,,,
(주)경농,002100,2008/12,1977/06/30,,,,,,
(주)경농,002100,2009/12,1977/06/30,,,,,,
(주)경농,002100,2010/12,1977/06/30,,,,,,
(주)경동나비엔,009450,2000/12,1993/08/31,,148013991,71823526,170347574,12220750,6165417
(주)경동나비엔,009450,2001/12,1993/08/31,,143058258,82198871,187890222,16638429,11049674
(주)경동나비엔,009450,2002/12,1993/08/31,,159979374,96923624,210786227,22746125,17240604
(주)경동나비엔,009450,2003/12,1993/08/31,,159385679,106996521,199578442,10983489,9531985
(주)경동나비엔,009450,2004/12,1993/08/31,,158832722,109854676,183634309,6371831,5477098
(주)경동나비엔,009450,2005/12,1993/08/31,,163031226,115795182,179316818,2227870,4980877
(주)경동나비엔,009450,2006/12,1993/08/31,,174190342,120489805,189345349,1939172,6014772
(주)경동나비엔,009450,2007/12,1993/08/31,,180012492,129201513,184546497,1550811,7666607
(주)경동나비엔,009450,2008/12,1993/08/31,,197388300,142361527,213965135,5439693,7693123
(주)경동나비엔,009450,2009/12,1993/08/31,,204062639,141556730,253008512,6960289,3688748
(주)경동나비엔,009450,2010/12,1993/08/31,,233925964,153747339,307887854,12846979,7689537
(주)경동인베스트,012320,2000/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2001/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2002/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2003/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2004/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2005/12,1997/03/07,,,,,,
(주)경동인베스트,012320,2006/12,1997/03/07,,355503449,192200028,560808607,22887447,18642320
(주)경동인베스트,012320,2007/12,1997/03/07,,420638257,211936745,653835322,23087018,21572475
(주)경동인베스트,012320,2008/12,1997/03/07,,485130652,236663250,958668447,39445566,27284195
(주)경동인베스트,012320,2009/12,1997/03/07,,589475791,259873020,992419369,22458180,23669974
(주)경동인베스트,012320,2010/12,1997/03/07,,709990503,303998551,1423496353,34302101,33295644
(주)경방,000050,2000/12,1956/03/03,,648412007,374677511,370385537,6776930,-421004
(주)경방,000050,2001/12,1956/03/03,,593633670,342013125,342763747,1924905,-4303079
(주)경방,000050,2002/12,1956/03/03,,559264554,358065185,330176753,54827,-599052
(주)경방,000050,2003/12,1956/03/03,,549498735,349917229,225173650,-251383,-7705195
(주)경방,000050,2004/12,1956/03/03,,529687564,340227484,210960273,-6116458,-9290612
(주)경방,000050,2005/12,1956/03/03,,521048072,341120569,198690434,4417889,1165322
(주)경방,000050,2006/12,1956/03/03,,615498805,319295014,199388703,-6240047,-22165448
(주)경방,000050,2007/12,1956/03/03,,570705369,385429581,186167521,-13833883,65608691
(주)경방,000050,2008/12,1956/03/03,,787724257,407493133,159559778,-6603770,-14835529
(주)경방,000050,2009/12,1956/03/03,,1481470960,714374320,197278763,-16288929,-241834
(주)경방,000050,2010/12,1956/03/03,,1431695761,731498535,333749209,38357716,18790754
(주)경보제약,214390,2000/12,2015/06/29,,,,,,
(주)경보제약,214390,2001/12,2015/06/29,,,,,,
(주)경보제약,214390,2002/12,2015/06/29,,,,,,
(주)경보제약,214390,2003/12,2015/06/29,,,,,,
(주)경보제약,214390,2004/12,2015/06/29,,,,,,
(주)경보제약,214390,2005/12,2015/06/29,,,,,,
(주)경보제약,214390,2006/12,2015/06/29,,,,,,
(주)경보제약,214390,2007/12,2015/06/29,,,,,,
(주)경보제약,214390,2008/12,2015/06/29,,,,,,
(주)경보제약,214390,2009/12,2015/06/29,,,,,,
(주)경보제약,214390,2010/12,2015/06/29,,,,,,
(주)경윤하이드로에너지,019120,2000/12,1992/12/18,2011/04/06,,,,,
(주)경윤하이드로에너지,019120,2001/12,1992/12/18,2011/04/06,42831714,16509807,99461030,5615358,3792142
(주)경윤하이드로에너지,019120,2002/12,1992/12/18,2011/04/06,47444896,17983355,99504047,312882,2339624
(주)경윤하이드로에너지,019120,2003/12,1992/12/18,2011/04/06,56416286,21537342,93748161,-1110067,1122033
(주)경윤하이드로에너지,019120,2004/12,1992/12/18,2011/04/06,60943548,22046228,97239507,1317622,1374590
(주)경윤하이드로에너지,019120,2005/12,1992/12/18,2011/04/06,72940214,22410757,88026368,-767653,-1735126
(주)경윤하이드로에너지,019120,2006/12,1992/12/18,2011/04/06,75666515,19329210,94111304,376367,-3147074
(주)경윤하이드로에너지,019120,2007/12,1992/12/18,2011/04/06,78473931,17744251,80488922,458341,-2370104
(주)경윤하이드로에너지,019120,2008/12,1992/12/18,2011/04/06,47487913,8160357,26011791,-1442859,-6727760
