회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율
엔에이치엔한국사이버결제(주),60250,2004/12,19.48845686622338,-35.17091936757845,-19.925395519280695
엔에이치엔한국사이버결제(주),60250,2005/12,-317.0375648049681,-811.4451670961673,1.165368211556161
엔에이치엔한국사이버결제(주),60250,2006/12,-38.02360611362246,614.5333140586897,70.30708140737816
엔에이치엔한국사이버결제(주),60250,2007/12,-339.22854097704897,-1987.141660936134,1.5069316443735599
엔에이치엔한국사이버결제(주),60250,2008/12,12.894340504014885,63.99320145515759,25.792369498705753
엔에이치엔한국사이버결제(주),60250,2009/12,82.7930485899567,34.02508672546472,21.420375834379175
엔에이치엔한국사이버결제(주),60250,2010/12,145.1240081204195,148.1739775828946,33.94496571171013
엔토리노(주),32590,2000/12,,,
엔토리노(주),32590,2001/12,-34.684924996485776,-20.186848318668485,-10.451342497824603
엔토리노(주),32590,2002/12,-227.50368818773757,-78.33890957618091,-39.68134010716888
엔토리노(주),32590,2003/12,126.83635161463567,-133.058039442738,139.3948597108001
엔토리노(주),32590,2004/12,-164.29386345287597,-320.61529983796026,-57.84290690973081
엔토리노(주),32590,2005/12,147.8419944449422,173.03413759624812,-50.743608479257794
엔토리노(주),32590,2006/12,-94.3441903039389,-1670.965143772832,-61.6509013849347
엔토리노(주),32590,2007/12,1123.386854502106,-5615.950463927923,-26.14501324023607
엔피씨(주),4250,2000/12,,,
엔피씨(주),4250,2001/12,-26.717377050110734,-14.385836433222208,-2.799289523033055
엔피씨(주),4250,2002/12,41.74325592967285,41.071132643236496,14.602132372352544
엔피씨(주),4250,2003/12,-39.755209185281615,-20.004669688401584,10.830724251634626
엔피씨(주),4250,2004/12,-17.49570123749377,-13.245928064759713,12.839642382216379
엔피씨(주),4250,2005/12,42.50996124056306,12.02690651989727,21.730826366668772
엔피씨(주),4250,2006/12,44.89701367622897,23.07358483628655,17.98380204834206
엔피씨(주),4250,2007/12,3.9412617054867103,7.846330411770107,8.035048454359615
엔피씨(주),4250,2008/12,45.593681287814206,27.553444948977912,30.270896797823575
엔피씨(주),4250,2009/12,124.76690638450324,-19.65682601314747,71.86074686044113
엔피씨(주),4250,2010/12,103.7412887037687,413.9945559418801,28.300191262014447
엔하이테크(주),46720,2002/12,,,
엔하이테크(주),46720,2003/12,-131.77811857982002,-169.4071634165867,10.98597518865307
엔하이테크(주),46720,2004/12,-115.68781128877121,-136.88438503292048,72.25046713592168
엔하이테크(주),46720,2005/12,16.952250802327466,17.595781813552573,39.01138502297539
엔하이테크(주),46720,2006/12,-11.899423531275026,11.400437552160229,2.804152006801232
엔하이테크(주),46720,2007/12,2.988319195227858,-33.61412241842201,0.26267477147855456
엔하이테크(주),46720,2008/12,-17.379325446612064,16.930453486287867,15.929401522437425
엔하이테크(주),46720,2009/12,-43.84900893307148,-92.5494937572334,16.551760338036587
엔하이테크(주),46720,2010/12,39.44833002701477,-1666.1205839741444,15.327708462883766
엘브이엠씨홀딩스(주),900140,2009/12,,,
엘브이엠씨홀딩스(주),900140,2010/12,42.64702588677574,16.591736346221804,24.461668806593025
엘지디스플레이(주),34220,2004/12,,,
엘지디스플레이(주),34220,2005/12,-72.8240593951709,-68.76900168836778,20.981920397878525
엘지디스플레이(주),34220,2006/12,-287.15001373225715,-248.79983443324335,5.445046339764064
엘지디스플레이(주),34220,2007/12,-158.4464035074305,-157.2394006965634,35.08749835281716
엘지디스플레이(주),34220,2008/12,15.387827317293072,-19.140166082973035,13.319910317513294
엘지디스플레이(주),34220,2009/12,-38.50318161205134,-0.2875472267565225,26.746394640558524
엘지디스플레이(주),34220,2010/12,58.21730986721837,6.974649634154106,23.76087093303727
엘지마이크론(주),16990,2000/12,,,
엘지마이크론(주),16990,2001/12,-38.50368778297196,-34.014596606836754,3.5745682962555585
엘지마이크론(주),16990,2002/12,110.55326581783658,214.29430281002792,29.90057230963813
엘지마이크론(주),16990,2003/12,-25.76407222270006,-16.324254678539045,9.712586695549252
엘지마이크론(주),16990,2004/12,64.5886885704108,118.68593460996229,49.87308357714019
엘지마이크론(주),16990,2005/12,-12.95369380756852,-35.9101958203215,8.719289099576958
엘지마이크론(주),16990,2006/12,-47.336900133059835,-43.7844044277356,6.004850807673475
엘지마이크론(주),16990,2007/12,-92.6921438930442,-286.8901424270174,-14.687485588106794
엘지마이크론(주),16990,2008/12,1983.8202636081828,17.99462944786317,16.499599722608142
엘지석유화학(주),12990,2001/12,,,
엘지석유화학(주),12990,2002/12,7.440909843057682,45.661202667265506,-2.854570583561972
엘지석유화학(주),12990,2003/12,62.954285861292036,44.57789096343864,20.123504033125435
엘지석유화학(주),12990,2004/12,96.41227503466912,95.841864224951,43.21660239114717
엘지석유화학(주),12990,2005/12,-16.292371335130596,-7.079487496832382,10.905731716691704
엘지석유화학(주),12990,2006/12,7.0209726506697585,-1.0681855875279873,10.373252257628877
엘지이아이(주),2610,2000/12,,,
엘지이아이(주),2610,2001/12,3.228570544061845,172.84403824807154,31.517089078638893
엘지전자(주),66570,2002/12,,,
엘지전자(주),66570,2003/12,166.13416463446725,165.7386252716441,59.487352234232205
엘지전자(주),66570,2004/12,35.603009516291245,103.4524291971887,21.50586379358134
엘지전자(주),66570,2005/12,-47.98381877612631,-62.93435864471611,2.7646180716395765
엘지전자(주),66570,2006/12,-99.70297342006393,-123.53072156825802,4.26309043366913
엘지전자(주),66570,2007/12,55385.40806293018,-110.62542720107042,15.29326240577659
엘지전자(주),66570,2008/12,43.68751623731629,-44.94740169903969,18.443292283165842
엘지전자(주),66570,2009/12,3.6843184107140345,145.05071684965475,15.284284510821053
엘지전자(주),66570,2010/12,-97.90336943020799,-54.05931746078384,-23.57503622981501
엘컴텍(주),37950,2000/12,,,
엘컴텍(주),37950,2001/12,265.4599066204607,77.4409270742083,68.10958586549273
엘컴텍(주),37950,2002/12,96.29925442294103,67.40901727010731,47.85235777185514
엘컴텍(주),37950,2003/12,-49.74590245065952,-61.05914430463075,29.083844024655303
엘컴텍(주),37950,2004/12,184.910273240247,315.33098033840486,143.13783498176258
엘컴텍(주),37950,2005/12,-83.14830635370227,-102.39677262122035,-24.10381636113927
엘컴텍(주),37950,2006/12,155.33424458972195,-107.35711039605145,28.692951484392232
엘컴텍(주),37950,2007/12,-72.67393908017495,-127.78134369622688,-2.281882288955132
엘컴텍(주),37950,2008/12,640.8669064579512,-180.8744695840228,27.076442932392958
엘컴텍(주),37950,2009/12,9.97447829895837,474.4383734456149,18.894121755632266
엘컴텍(주),37950,2010/12,-108.26900153791964,-327.43039864103565,-23.341510485730595
엠넷미디어(주),56200,2002/12,,,
엠넷미디어(주),56200,2003/12,-52.57861538988507,-63.29747105152238,-48.426995862603036
엠넷미디어(주),56200,2004/12,-86.23216542608833,-56.173859413299596,94.81219040521306
엠넷미디어(주),56200,2005/12,375.0637819642182,1004.0942560041221,-16.995794326384537
엠넷미디어(주),56200,2006/12,468.29798386079585,199.75762029960384,37.895361155858545
엠넷미디어(주),56200,2007/12,80.22606310046191,-25.0596256119069,177.75587665781117
엠넷미디어(주),56200,2008/12,-82.98220766357177,79.72663444667845,88.47216588957426
엠넷미디어(주),56200,2009/12,-177.99347758304845,-98.64440917642666,8.636601229410166
엠넷미디어(주),56200,2010/12,-60.42348802563815,1591.4546920251994,14.096761127525939
엠바이엔(주),31970,2000/06,,,
엠바이엔(주),31970,2001/12,-45.29509962125361,40.018987266284554,-71.62352559580044
엠바이엔(주),31970,2002/12,-5.327754023072519,2.4947299083892753,-43.96726142097746
엠바이엔(주),31970,2003/12,-13.131560711204497,80.72485204701738,34.80641925777332
엠씨티티코어(주),52210,2002/12,,,
엠씨티티코어(주),52210,2003/12,700.6579842056705,5164.049356310176,-46.71997799401385
엠씨티티코어(주),52210,2004/12,-47.63735569221872,-61.813045170918876,11.136729990923282
엠씨티티코어(주),52210,2005/12,-69.98606333634535,-72.56203119601022,53.47460790899626
엠씨티티코어(주),52210,2006/12,207.25844478810083,104.81191601526454,-63.24493050775403
엠씨티티코어(주),52210,2007/12,-62.026301430722,-36.853119151009864,-16.871692677950744
엠씨티티코어(주),52210,2008/12,132.63813848410538,144.63386947378768,8.386570412495086
엠씨티티코어(주),52210,2009/12,-42.80045776676958,-28.927521613489045,-20.795438214866113
엠케이전자(주),33160,2000/12,,,
엠케이전자(주),33160,2001/12,-99.00246524495712,-89.03142678422223,-31.39780438514092
엠케이전자(주),33160,2002/12,3933.683393757776,191.6645020780051,46.774414812845464
엠케이전자(주),33160,2003/12,162.89304171152367,229.12397162246018,43.20702212534252
엠케이전자(주),33160,2004/12,29.858723576903458,13.089428976423187,38.24495362996455
엠케이전자(주),33160,2005/12,-6.489548705447762,1.899327308796521,11.162558624692993
엠케이전자(주),33160,2006/12,0.12804698581551074,-11.970427541395392,32.48886666051835
엠케이전자(주),33160,2007/12,8.666779141658102,3.8313916159186916,16.8855329992538
엠케이전자(주),33160,2008/12,132.30193595402108,105.26867550949225,29.047346162138027
엠케이전자(주),33160,2009/12,-38.41929972576677,-45.524402692644514,27.26062119087494
엠케이전자(주),33160,2010/12,11.746449371018661,-4.669144431751425,29.565495136955946
엠텍반도체(주),54440,2001/12,,,
엠텍반도체(주),54440,2002/12,-66.28686933970678,-60.72322888356172,-22.208958960518604
엠텍반도체(주),54440,2003/12,-57.32183725033252,-52.462227703915985,-2.7628780924766323
엠텍반도체(주),54440,2004/12,-594.6846395315097,-1141.877980846274,-9.075302241859402
엠텍반도체(주),54440,2005/12,6.4100220155251355,-56.63536041496226,-24.16544446614532
엠텍반도체(주),54440,2006/12,549.8080330456633,3283.223520867465,136.52222638610144
엠텍비젼(주),74000,2004/12,,,
엠텍비젼(주),74000,2005/12,-0.28451149843687795,-4.862797705219999,6.3906016560347405
엠텍비젼(주),74000,2006/12,-76.51240387241373,-91.73891470481973,-33.69706418544367
엠텍비젼(주),74000,2007/12,-75.11714392013256,-362.6346280657285,42.712830851959886
엠텍비젼(주),74000,2008/12,435.89130865794993,741.4281025830728,-3.3727384644721248
엠텍비젼(주),74000,2009/12,-116.60600581387261,-72.6654066495569,-17.642470268301473
엠텍비젼(주),74000,2010/12,880.6131947201465,32.463190890053674,-40.04015780964434
연합과기공고유한공사,900030,2007/12,,,
연합과기공고유한공사,900030,2008/12,-114.09210581413778,-556.941682022583,65.52310632740294
연합과기공고유한공사,900030,2009/12,-131.09133630563534,-63.28163355323719,-39.949396907176734
연합과기공고유한공사,900030,2010/12,-13.598164788278448,-457.73783162104235,-3.1534484236502807
영보화학(주),14440,2000/12,,,
영보화학(주),14440,2001/12,66.5676744342174,122.82686755984228,13.58558637701758
영보화학(주),14440,2002/12,-27.28401637573833,-14.48681445181046,-4.288540719977538
영보화학(주),14440,2003/12,-17.479042641246856,-1.9736025439000808,6.834675211092027
영보화학(주),14440,2004/12,-5.365916835978922,-21.627149463517874,12.731454300194626
영보화학(주),14440,2005/12,19.816589229394495,2.97903787615925,1.43005741211228
영보화학(주),14440,2006/12,-38.83759849785362,61.68728136667805,-0.38883812795993244
영보화학(주),14440,2007/12,-50.7664061731694,-101.00209691602448,17.399517858607368
영보화학(주),14440,2008/12,65.54849767742398,-104.26601041416895,4.817259122970633
영보화학(주),14440,2009/12,60.746637562408715,426.2099701574198,-16.52577346528648
영보화학(주),14440,2010/12,58.880109634844324,-39.36309629610453,23.950554840627877
영신금속공업(주),7530,2000/12,,,
영신금속공업(주),7530,2001/12,44.269453804187194,-34.87978327124958,-14.466986673110247
영신금속공업(주),7530,2002/12,-186.0413290649015,587.5824506664477,10.057559178982768
영신금속공업(주),7530,2003/12,86.35852500015362,-46.96802031669201,6.049913729136979
영신금속공업(주),7530,2004/12,-47.03695948931343,-580.8591287116823,32.574885611807474
영신금속공업(주),7530,2005/12,-159.7086593684367,-236.34083559543328,27.655612374526626
영신금속공업(주),7530,2006/12,84.13573592550601,36.60164658886674,23.437243576506127
영신금속공업(주),7530,2007/12,36.569545641969285,18.63243722000516,17.578051801127003
영신금속공업(주),7530,2008/12,-64.09306859856822,-96.42745280609147,3.813450752822635
영신금속공업(주),7530,2009/12,81.2147054010578,1896.5133163012113,-4.96545396237883
영신금속공업(주),7530,2010/12,21.554328812558214,30.33787099203401,48.39595006121038
영진약품(주),3520,2000/12,,,
영진약품(주),3520,2001/12,-802.3350031572054,-4017.1026189731683,-4.520751441598817
영진약품(주),3520,2002/12,-32.03122216270619,-43.978745097000704,7.15289277765065
영진약품(주),3520,2003/12,-16.94395715008535,-438.7825786569457,-2.87383433674925
영진약품(주),3520,2004/12,-58.084153441972944,-160.9389813846113,1.8495617001452427
영진약품(주),3520,2005/12,-16.679739885124363,-92.18082380477864,23.91118634396602
영진약품(주),3520,2006/12,-468.1793570646083,-5041.813124764733,6.611066938161097
영진약품(주),3520,2007/12,49.57995263892826,23.401107420911778,1.0453197780371233
영진약품(주),3520,2008/12,-547.2071671092478,-53.81756260205972,1.0990518749114533
영진약품(주),3520,2009/12,-174.07727077249723,-35.42809483803697,-6.754794862689319
영진약품(주),3520,2010/12,-120.16714295164819,-46.90252501335679,12.51842370920083
영창악기제조(주),1890,2000/12,,,
영창악기제조(주),1890,2001/12,-41.27315307418887,-144.26954486076613,-14.147534217780425
영창악기제조(주),1890,2002/12,-36.24959156225794,279.46263947421215,-12.2641297544781
영창악기제조(주),1890,2003/12,-164.2823606448728,21.049710535845847,-25.78849196639811
영풍산업(주),2850,2000/12,,,
영풍산업(주),2850,2001/12,29.782438348784744,-209.3524358280404,62.97590459654961
영풍산업(주),2850,2002/12,-31.317235984857295,-2.4543969873740443,9.146764688394406
영풍산업(주),2850,2003/12,-50.158235885339195,-3634.927993306883,-21.153088224546217
영풍정밀(주),36560,2000/12,,,
영풍정밀(주),36560,2001/12,-52.18527303286814,-44.18174869979041,-12.464657172670753
영풍정밀(주),36560,2002/12,-5.6762556374873965,-14.059215558324997,1.6354556996564733
영풍정밀(주),36560,2003/12,-14.062274136982255,32.8168687558639,3.2184880280532577
영풍정밀(주),36560,2004/12,124.3235126591188,49.904172592424246,44.09955167446098
영풍정밀(주),36560,2005/12,57.65529736801032,88.65149432365668,16.388187940913383
영풍정밀(주),36560,2006/12,1.4470409035182228,203.3451097689873,7.066104502801104
영풍정밀(주),36560,2007/12,91.90024997067276,15.886451486738837,33.616851104491694
영풍정밀(주),36560,2008/12,20.77510326594475,31.015056831589465,19.754327637557807
영풍정밀(주),36560,2009/12,39.62535268714199,3.3658796742538675,21.20346241981994
영풍정밀(주),36560,2010/12,10.375120448939008,20.594387642226646,17.23885095076549
영풍제지(주),6740,2000/06,,,
영풍제지(주),6740,2001/06,20.88089855786854,7.0299243093453825,3.034286395158391
영풍제지(주),6740,2002/06,-38.269138627327905,-32.26412803844751,-8.755872536397707
영풍제지(주),6740,2003/12,12.754193399923619,-2.053776744842916,3.290361447495565
영풍제지(주),6740,2004/12,-33.038508677487286,-8.632621795926683,20.68870360197123
영풍제지(주),6740,2005/12,-25.13411953151703,-14.24121953954646,-13.609829736155879
영풍제지(주),6740,2006/12,108.35487061288521,88.53403780166677,4.808119906003672
영풍제지(주),6740,2007/12,-15.234348055859959,-17.860841865997934,13.045573644301195
영풍제지(주),6740,2008/12,-85.6385102238788,-92.73009666102125,22.06208146741856
영풍제지(주),6740,2009/12,507.18456177123403,908.5950200318022,-25.697979489554562
영풍제지(주),6740,2010/12,-122.00774151269096,-83.62767535784101,24.506305406233757
영화금속(주),12280,2000/12,,,
영화금속(주),12280,2001/12,-133.9173047165595,468.6497703279877,0.03869140258634393
영화금속(주),12280,2002/12,113.23176690059518,105.27182866556836,14.24045674642426
영화금속(주),12280,2003/12,-148.39891598395582,-82.34545527767709,8.156987547037387
영화금속(주),12280,2004/12,47.82527082398181,-604.0112671892387,30.811973604124272
영화금속(주),12280,2005/12,3.8270092196234535,475.53163969631146,8.474938026036506
영화금속(주),12280,2006/12,86.73949041517857,49.750649951057476,30.1040001716384
영화금속(주),12280,2007/12,-29.788991017776013,-6.090365231344311,12.357524458435456
영화금속(주),12280,2008/12,16.25885532906218,-64.46561779603233,22.795080728724955
영화금속(주),12280,2009/12,-80.15895083420459,-383.6841887352216,-13.605467116850662
영화금속(주),12280,2010/12,551.5820228670125,-173.01583335293148,20.33748926972413
예스이십사(주),53280,2008/12,,,
예스이십사(주),53280,2009/12,4.004426432370058,-1.585383007740939,20.54418272703874
예스이십사(주),53280,2010/12,-48.610301792176905,-38.85729313079909,8.956407453479626
오로라월드(주),39830,2001/12,,,
