,회사명,거래소코드,회계년도,영업이익,당기순이익,매출액
194,(주)경윤하이드로에너지,19120,2004/12,1317622.0,1374590.0,97239507.0
195,(주)경윤하이드로에너지,19120,2005/12,-767653.0,-1735126.0,88026368.0
196,(주)경윤하이드로에너지,19120,2006/12,376367.0,-3147074.0,94111304.0
197,(주)경윤하이드로에너지,19120,2007/12,458341.0,-2370104.0,80488922.0
198,(주)경윤하이드로에너지,19120,2008/12,-1442859.0,-6727760.0,26011791.0
199,(주)경윤하이드로에너지,19120,2009/12,-8118074.0,-9335728.0,10621807.0
200,(주)경윤하이드로에너지,19120,2010/12,-2647412.0,-29421901.0,7735620.0
201,(주)경인양행,12610,2000/12,3040326.0,2483730.0,70069338.0
202,(주)경인양행,12610,2001/12,3114399.0,5756107.0,81614530.0
203,(주)경인양행,12610,2002/12,5352655.0,4603853.0,93646343.0
204,(주)경인양행,12610,2003/12,2896432.0,3009362.0,88282906.0
205,(주)경인양행,12610,2004/12,2407076.0,4301525.0,95832343.0
206,(주)경인양행,12610,2005/12,1576316.0,2662004.0,121277652.0
207,(주)경인양행,12610,2006/12,118253.0,1019469.0,123483434.0
208,(주)경인양행,12610,2007/12,3970512.0,4364667.0,135076471.0
209,(주)경인양행,12610,2008/12,43275195.0,17239950.0,239873963.0
210,(주)경인양행,12610,2009/12,26166680.0,14623313.0,267965327.0
211,(주)경인양행,12610,2010/12,11667251.0,9765114.0,281113744.0
212,(주)고영테크놀러지,98460,2008/12,5924671.0,8121044.0,34349879.0
213,(주)고영테크놀러지,98460,2009/12,2269359.0,1162140.0,26915148.0
214,(주)고영테크놀러지,98460,2010/12,18818468.0,15847379.0,71207683.0
215,(주)고제,2540,2000/12,3512313.0,-5534072.0,44846948.0
216,(주)고제,2540,2001/12,-537567.0,-146475974.0,31391929.0
217,(주)고제,2540,2002/12,480910.0,2083120.0,31272206.0
218,(주)고제,2540,2003/12,-786621.0,-1542268.0,26701818.0
219,(주)고제,2540,2004/12,-2416836.0,-5231616.0,25188170.0
220,(주)고제,2540,2005/12,-2466296.0,-9047214.0,7729896.0
221,(주)고제,2540,2006/12,-5101899.0,-30688219.0,5103464.0
222,(주)고제,2540,2007/12,-6365935.0,-26322171.0,5486193.0
223,(주)고제,2540,2008/12,-5204889.0,-7730982.0,5363256.0
224,(주)고제,2540,2009/12,1334039.0,-21901503.0,7588320.0
225,(주)고합,4460,2000/12,-84449861.0,-1273290440.0,1372885066.0
226,(주)고합,4460,2001/12,-47215936.0,-764917842.0,1303542831.0
227,(주)골드앤에스,35290,2000/12,-3902087.0,-4098299.0,23803121.0
228,(주)골드앤에스,35290,2001/12,54570.0,-10940847.0,25281194.0
229,(주)골드앤에스,35290,2002/12,-4685080.0,-10762332.0,26246918.0
230,(주)골드앤에스,35290,2003/12,541962.0,406922.0,28269553.0
231,(주)골드앤에스,35290,2004/12,1653918.0,1622565.0,36471678.0
232,(주)골드앤에스,35290,2005/12,1280866.0,2067831.0,42184917.0
233,(주)골드앤에스,35290,2006/12,-769792.0,-1850039.0,40843635.0
234,(주)골드앤에스,35290,2007/12,1633819.0,1262606.0,45661772.0
235,(주)골드앤에스,35290,2008/12,1023694.0,71026.0,48320703.0
236,(주)골드앤에스,35290,2009/12,1041269.0,422643.0,50994395.0
237,(주)골드앤에스,35290,2010/12,327943.0,-8737173.0,50487261.0
238,(주)골드카운티,58900,2004/12,1674344.0,1165814.0,17593492.0
239,(주)골드카운티,58900,2005/12,-2541362.0,-2571166.0,15062031.0
240,(주)골드카운티,58900,2006/12,-4215540.0,-30453538.0,11080154.0
241,(주)골드카운티,58900,2007/12,-13379039.0,-48989171.0,9789297.0
242,(주)골드카운티,58900,2008/12,-3669382.0,-14166048.0,3548409.0
243,(주)골드카운티,58900,2009/12,-3397130.0,-14359362.0,3755464.0
244,(주)골드퍼시픽,38530,2000/12,261190.0,1013282.0,10136715.0
245,(주)골드퍼시픽,38530,2001/12,-3504152.0,-1609844.0,14253076.0
246,(주)골드퍼시픽,38530,2002/12,-4045349.0,-7343412.0,29891799.0
247,(주)골드퍼시픽,38530,2003/12,-7770732.0,-11608849.0,46424885.0
248,(주)골드퍼시픽,38530,2004/12,-10627672.0,-24575256.0,44831508.0
249,(주)골드퍼시픽,38530,2005/12,-3089830.0,-16248728.0,17208535.0
250,(주)골드퍼시픽,38530,2006/12,156883.0,-482942.0,25667749.0
251,(주)골드퍼시픽,38530,2007/12,-2985767.0,-8922859.0,7549743.0
252,(주)골드퍼시픽,38530,2008/12,-1137400.0,-1370811.0,10151537.0
253,(주)골드퍼시픽,38530,2009/12,-797315.0,155292.0,8283127.0
254,(주)골드퍼시픽,38530,2010/12,774061.0,407494.0,10718074.0
255,(주)광림,14200,2000/12,761635.0,646322.0,53698626.0
256,(주)광림,14200,2001/12,-896673.0,-1556602.0,50694243.0
257,(주)광림,14200,2002/12,1560702.0,-745228.0,59549482.0
258,(주)광림,14200,2003/12,1587163.0,2010572.0,64649773.0
259,(주)광림,14200,2004/12,2141805.0,1675794.0,68739030.0
260,(주)광림,14200,2005/12,1996339.0,-771353.0,63679674.0
261,(주)광림,14200,2006/12,1804611.0,1811539.0,72557817.0
262,(주)광림,14200,2007/12,1160231.0,7942228.0,80603787.0
263,(주)광림,14200,2008/12,592630.0,734370.0,75005375.0
264,(주)광림,14200,2009/12,362197.0,-680366.0,73150221.0
265,(주)광림,14200,2010/12,2652459.0,2591552.0,93434519.0
266,(주)광명전기,17040,2000/12,1067506.0,-761880.0,30290010.0
267,(주)광명전기,17040,2002/11,1210701.0,1063256.0,44895379.0
268,(주)광명전기,17040,2003/11,3380803.0,2219935.0,42804219.0
269,(주)광명전기,17040,2004/11,334547.0,2214661.0,39607731.0
270,(주)광명전기,17040,2005/12,253108.0,4354991.0,55086574.0
271,(주)광명전기,17040,2006/12,873494.0,4864997.0,52923069.0
272,(주)광명전기,17040,2007/12,1041356.0,808272.0,65945292.0
273,(주)광명전기,17040,2008/12,1123094.0,-354351.0,77349378.0
274,(주)광명전기,17040,2009/12,4021322.0,1220668.0,84159404.0
275,(주)광명전기,17040,2010/12,3987892.0,941537.0,92782880.0
276,(주)광무,29480,2000/12,3508586.0,1505697.0,70628789.0
277,(주)광무,29480,2001/12,617908.0,-269356.0,54151192.0
278,(주)광무,29480,2002/12,-1762301.0,-3810453.0,41423307.0
279,(주)광무,29480,2003/12,916631.0,633589.0,41945377.0
280,(주)광무,29480,2004/12,-3980130.0,-9716820.0,43229865.0
281,(주)광무,29480,2005/12,475387.0,-170662.0,33974761.0
282,(주)광무,29480,2006/12,-1458207.0,-4958514.0,41006386.0
283,(주)광무,29480,2007/12,2652844.0,1510193.0,73948574.0
284,(주)광무,29480,2008/12,2815921.0,1098351.0,67440018.0
285,(주)광무,29480,2009/12,5034317.0,1894815.0,83278807.0
286,(주)광무,29480,2010/12,5035538.0,-17870753.0,80264838.0
287,(주)광주신세계,37710,2002/12,27595719.0,21173141.0,299712705.0
288,(주)광주신세계,37710,2003/12,20516525.0,14965904.0,106737452.0
289,(주)광주신세계,37710,2004/12,20333420.0,12269885.0,99012872.0
290,(주)광주신세계,37710,2005/12,24995342.0,18936546.0,95102252.0
291,(주)광주신세계,37710,2006/12,28931011.0,21221192.0,145258359.0
292,(주)광주신세계,37710,2007/12,36585556.0,27384595.0,184849268.0
293,(주)광주신세계,37710,2008/12,39332735.0,31093547.0,190163145.0
294,(주)광주신세계,37710,2009/12,43297471.0,36519339.0,191841842.0
295,(주)광주신세계,37710,2010/12,52722832.0,44121970.0,213091292.0
296,(주)구영테크,53270,2002/12,1494791.0,1159076.0,28864026.0
297,(주)구영테크,53270,2003/12,2104486.0,2151005.0,33259206.0
