회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)경동인베스트,12320,2014/12,1997/03/07,,-6.642315675961832
(주)경동인베스트,12320,2015/12,1997/03/07,,-38.373719295000335
(주)경동인베스트,12320,2016/12,1997/03/07,,-26.323035874233064
(주)경동인베스트,12320,2017/12,1997/03/07,,-83.49526831625134
(주)경동인베스트,12320,2018/12,1997/03/07,,17.21135042190193
(주)경동인베스트,12320,2019/12,1997/03/07,,18.859452241251745
(주)경동인베스트,12320,2020/12,1997/03/07,,14.265251019699832
(주)경방,50,2010/12,1956/03/03,,69.17645058429325
(주)경방,50,2011/12,1956/03/03,,4.310769767247598
(주)경방,50,2012/12,1956/03/03,,-4.169505484788922
(주)경방,50,2013/12,1956/03/03,,4.067118967796744
(주)경방,50,2014/12,1956/03/03,,-5.228710233189933
(주)경방,50,2015/12,1956/03/03,,8.689663441501054
(주)경방,50,2016/12,1956/03/03,,5.541193337730191
(주)경방,50,2017/12,1956/03/03,,-4.412897886135271
(주)경방,50,2018/12,1956/03/03,,-2.5914954388128786
(주)경방,50,2019/12,1956/03/03,,-2.1474118094704173
(주)경방,50,2020/12,1956/03/03,,-4.265100780089195
(주)경보제약,214390,2010/12,2015/06/29,,15.238450973894441
(주)경보제약,214390,2011/12,2015/06/29,,
(주)경보제약,214390,2012/12,2015/06/29,,
(주)경보제약,214390,2013/12,2015/06/29,,
(주)경보제약,214390,2014/12,2015/06/29,,4.662305954192299
(주)경보제약,214390,2015/12,2015/06/29,,4.860010274633042
(주)경보제약,214390,2016/12,2015/06/29,,4.88311491120347
(주)경보제약,214390,2017/12,2015/06/29,,2.6430167769199144
(주)경보제약,214390,2018/12,2015/06/29,,5.051733585088459
(주)경보제약,214390,2019/12,2015/06/29,,-4.786547569161326
(주)경보제약,214390,2020/12,2015/06/29,,12.29950171300938
(주)경윤하이드로에너지,19120,2010/12,1992/12/18,2011/04/06,-27.17227869043375
(주)경인양행,12610,2010/12,1995/10/05,,4.9067605675714905
(주)경인양행,12610,2011/12,1995/10/05,,-17.08158922318647
(주)경인양행,12610,2012/12,1995/10/05,,-6.216517280038839
(주)경인양행,12610,2013/12,1995/10/05,,19.305968118565453
(주)경인양행,12610,2014/12,1995/10/05,,6.277671654747316
(주)경인양행,12610,2015/12,1995/10/05,,-5.057133496063287
(주)경인양행,12610,2016/12,1995/10/05,,4.449755427303899
(주)경인양행,12610,2017/12,1995/10/05,,9.136523905439855
(주)경인양행,12610,2018/12,1995/10/05,,10.371851576635656
(주)경인양행,12610,2019/12,1995/10/05,,8.366114997712895
(주)경인양행,12610,2020/12,1995/10/05,,-8.219094730323226
(주)고려시멘트,198440,2015/12,2014/08/13,,
(주)고려시멘트,198440,2016/12,2014/08/13,,
(주)고려시멘트,198440,2017/12,2014/08/13,,
(주)고려시멘트,198440,2018/12,2014/08/13,,-2.149836945528212
(주)고려시멘트,198440,2019/12,2014/08/13,,-17.31718658903056
(주)고려시멘트,198440,2020/12,2014/08/13,,-1.0420917094566478
(주)고바이오랩,348150,2020/12,2020/11/18,,696.4152092125324
(주)고영테크놀러지,98460,2010/12,2008/06/03,,164.56359444874687
(주)고영테크놀러지,98460,2011/12,2008/06/03,,20.957186600215596
(주)고영테크놀러지,98460,2012/12,2008/06/03,,25.206840618357123
(주)고영테크놀러지,98460,2013/12,2008/06/03,,3.7657643382475197
(주)고영테크놀러지,98460,2014/12,2008/06/03,,27.64669126165815
(주)고영테크놀러지,98460,2015/12,2008/06/03,,2.1452654646473266
(주)고영테크놀러지,98460,2016/12,2008/06/03,,17.74408756647014
(주)고영테크놀러지,98460,2017/12,2008/06/03,,18.379462742206222
(주)고영테크놀러지,98460,2018/12,2008/06/03,,17.13157023542068
(주)고영테크놀러지,98460,2019/12,2008/06/03,,-6.7805327060351015
(주)고영테크놀러지,98460,2020/12,2008/06/03,,-19.144586434741868
(주)고제,2540,2009/12,1989/10/12,2010/04/23,41.48718614214947
(주)고합,4460,2001/12,1973/10/25,2002/04/12,-5.050840504954549
(주)골드앤에스,35290,2010/12,1999/12/07,,-0.9944896885236113
(주)골드앤에스,35290,2011/12,1999/12/07,,-5.871718808433676
(주)골드앤에스,35290,2012/12,1999/12/07,,-7.646234414136156
(주)골드앤에스,35290,2013/12,1999/12/07,,-9.889194095106149
(주)골드앤에스,35290,2014/12,1999/12/07,,-20.88964750140396
(주)골드앤에스,35290,2015/12,1999/12/07,,-29.051072414494833
(주)골드앤에스,35290,2016/12,1999/12/07,,-28.40102468990922
(주)골드앤에스,35290,2017/12,1999/12/07,,-19.451097411305533
(주)골드앤에스,35290,2018/12,1999/12/07,,-32.1947487254956
(주)골드앤에스,35290,2019/12,1999/12/07,,-11.954665494377481
(주)골드앤에스,35290,2020/12,1999/12/07,,-45.84712039528268
(주)골드카운티,58900,2009/12,2004/10/29,2010/10/12,5.835150344844689
